x,y,U_x
0.4,1.00E-01,1.01E+00
0.4,9.80E-02,1.01E+00
0.4,9.33E-02,1.01E+00
0.4,8.89E-02,1.01E+00
0.4,8.46E-02,1.01E+00
0.4,8.06E-02,1.01E+00
0.4,7.67E-02,1.01E+00
0.4,7.31E-02,1.01E+00
0.4,6.96E-02,1.01E+00
0.4,6.63E-02,1.01E+00
0.4,6.31E-02,1.01E+00
0.4,6.01E-02,1.01E+00
0.4,5.72E-02,1.01E+00
0.4,5.45E-02,1.01E+00
0.4,5.19E-02,1.01E+00
0.4,4.94E-02,1.01E+00
0.4,4.70E-02,1.01E+00
0.4,4.48E-02,1.01E+00
0.4,4.26E-02,1.01E+00
0.4,4.06E-02,1.01E+00
0.4,3.87E-02,1.01E+00
0.4,3.68E-02,1.01E+00
0.4,3.50E-02,1.01E+00
0.4,3.34E-02,1.01E+00
0.4,3.18E-02,1.01E+00
0.4,3.02E-02,1.01E+00
0.4,2.88E-02,1.01E+00
0.4,2.74E-02,1.01E+00
0.4,2.61E-02,1.01E+00
0.4,2.48E-02,1.01E+00
0.4,2.37E-02,1.01E+00
0.4,2.25E-02,1.01E+00
0.4,2.14E-02,1.01E+00
0.4,2.04E-02,1.01E+00
0.4,1.94E-02,1.01E+00
0.4,1.85E-02,1.01E+00
0.4,1.76E-02,1.01E+00
0.4,1.68E-02,1.01E+00
0.4,1.59E-02,1.01E+00
0.4,1.52E-02,1.01E+00
0.4,1.44E-02,1.01E+00
0.4,1.37E-02,1.01E+00
0.4,1.31E-02,1.01E+00
0.4,1.25E-02,1.01E+00
0.4,1.18E-02,1.00E+00
0.4,1.13E-02,9.97E-01
0.4,1.07E-02,9.91E-01
0.4,1.02E-02,9.82E-01
0.4,9.71E-03,9.70E-01
0.4,9.24E-03,9.57E-01
0.4,8.79E-03,9.41E-01
0.4,8.36E-03,9.23E-01
0.4,7.95E-03,9.03E-01
0.4,7.57E-03,8.81E-01
0.4,7.20E-03,8.57E-01
0.4,6.84E-03,8.32E-01
0.4,6.51E-03,8.06E-01
0.4,6.19E-03,7.79E-01
0.4,5.89E-03,7.52E-01
0.4,5.60E-03,7.24E-01
0.4,5.32E-03,6.96E-01
0.4,5.06E-03,6.68E-01
0.4,4.81E-03,6.40E-01
0.4,4.57E-03,6.13E-01
0.4,4.34E-03,5.87E-01
0.4,4.12E-03,5.60E-01
0.4,3.92E-03,5.35E-01
0.4,3.72E-03,5.11E-01
0.4,3.54E-03,4.87E-01
0.4,3.36E-03,4.64E-01
0.4,3.19E-03,4.42E-01
0.4,3.03E-03,4.20E-01
0.4,2.87E-03,4.00E-01
0.4,2.73E-03,3.80E-01
0.4,2.59E-03,3.61E-01
0.4,2.45E-03,3.43E-01
0.4,2.33E-03,3.26E-01
0.4,2.21E-03,3.09E-01
0.4,2.09E-03,2.94E-01
0.4,1.98E-03,2.79E-01
0.4,1.88E-03,2.64E-01
0.4,1.78E-03,2.50E-01
0.4,1.69E-03,2.37E-01
0.4,1.60E-03,2.25E-01
0.4,1.51E-03,2.13E-01
0.4,1.43E-03,2.01E-01
0.4,1.35E-03,1.90E-01
0.4,1.28E-03,1.80E-01
0.4,1.21E-03,1.70E-01
0.4,1.14E-03,1.61E-01
0.4,1.08E-03,1.52E-01
0.4,1.02E-03,1.43E-01
0.4,9.58E-04,1.35E-01
0.4,9.03E-04,1.27E-01
0.4,8.51E-04,1.20E-01
0.4,8.01E-04,1.13E-01
0.4,7.53E-04,1.06E-01
0.4,7.08E-04,9.98E-02
0.4,6.64E-04,9.38E-02
0.4,6.23E-04,8.79E-02
0.4,5.84E-04,8.24E-02
0.4,5.47E-04,7.72E-02
0.4,5.11E-04,7.21E-02
0.4,4.77E-04,6.74E-02
0.4,4.45E-04,6.28E-02
0.4,4.14E-04,5.85E-02
0.4,3.85E-04,5.44E-02
0.4,3.57E-04,5.04E-02
0.4,3.31E-04,4.67E-02
0.4,3.05E-04,4.31E-02
0.4,2.81E-04,3.97E-02
0.4,2.58E-04,3.65E-02
0.4,2.37E-04,3.34E-02
0.4,2.16E-04,3.05E-02
0.4,1.96E-04,2.77E-02
0.4,1.77E-04,2.50E-02
0.4,1.59E-04,2.25E-02
0.4,1.42E-04,2.01E-02
0.4,1.26E-04,1.78E-02
0.4,1.10E-04,1.56E-02
0.4,9.55E-05,1.35E-02
0.4,8.14E-05,1.15E-02
0.4,6.80E-05,9.61E-03
0.4,5.53E-05,7.80E-03
0.4,4.31E-05,6.09E-03
0.4,3.15E-05,4.45E-03
0.4,2.05E-05,2.90E-03
0.4,1.00E-05,1.41E-03
0.4,0.00E+00,0.00E+00
